Como eu chego a/ao biblioteca,ir-ate-biblioteca
pode me levar até biblioteca,ir-ate-biblioteca
qual o caminho para a biblioteca,ir-ate-biblioteca
Pode me guiar a/ao biblioteca,ir-ate-biblioteca
Pode me conduzir a/ao biblioteca,ir-ate-biblioteca
Pode me levar até a/ao biblioteca,ir-ate-biblioteca
Como eu vou há biblioteca,ir-ate-biblioteca
Como eu vou pra biblioteca,ir-ate-biblioteca
Como eu vou para biblioteca,ir-ate-biblioteca
Como eu chego a/ao biblioteca,ir-ate-biblioteca
Pode me acompanhar até biblioteca,ir-ate-biblioteca
Como eu chego a/ao secretaria,ir-ate-secretaria
pode me levar até secretaria,ir-ate-secretaria
qual o caminho para a secretaria,ir-ate-secretaria
Pode me guiar a/ao secretaria,ir-ate-secretaria
Pode me conduzir a/ao secretaria,ir-ate-secretaria
Pode me levar até a/ao secretaria,ir-ate-secretaria
Como eu vou há secretaria,ir-ate-secretaria
Como eu vou pra secretaria,ir-ate-secretaria
Como eu vou para secretaria,ir-ate-secretaria
Como eu chego a/ao secretaria,ir-ate-secretaria
Pode me acompanhar até secretaria,ir-ate-secretaria
Como eu chego a/ao cordenação,ir-ate-cordenacao
pode me levar até cordenação,ir-ate-cordenacao
qual o caminho para a cordenação,ir-ate-cordenacao
Pode me guiar a/ao cordenação,ir-ate-cordenacao
Pode me conduzir a/ao cordenação,ir-ate-cordenacao
Pode me levar até a/ao cordenação,ir-ate-cordenacao
Como eu vou há cordenação,ir-ate-cordenacao
Como eu vou pra cordenação,ir-ate-cordenacao
Como eu vou para cordenação,ir-ate-cordenacao
Como eu chego a/ao cordenação,ir-ate-cordenacao
Pode me acompanhar até cordenação,ir-ate-cordenacao
Como eu chego a/ao sala dos professores,ir-ate-sala-professores
pode me levar até sala dos professores,ir-ate-sala-professores
qual o caminho para a sala dos professores,ir-ate-sala-professores
Pode me guiar a/ao sala dos professores,ir-ate-sala-professores
Pode me conduzir a/ao sala dos professores,ir-ate-sala-professores
Pode me levar até a/ao sala dos professores,ir-ate-sala-professores
Como eu vou há sala dos professores,ir-ate-sala-professores
Como eu vou pra sala dos professores,ir-ate-sala-professores
Como eu vou para sala dos professores,ir-ate-sala-professores
Como eu chego a/ao sala dos professores,ir-ate-sala-professores
Pode me acompanhar até sala dos professores,ir-ate-sala-professores
Como eu chego a/ao sala de estágio,ir-ate-sala-estagio
pode me levar até sala de estágio,ir-ate-sala-estagio
qual o caminho para a sala de estágio,ir-ate-sala-estagio
Pode me guiar a/ao sala de estágio,ir-ate-sala-estagio
Pode me conduzir a/ao sala de estágio,ir-ate-sala-estagio
Pode me levar até a/ao sala de estágio,ir-ate-sala-estagio
Como eu vou há sala de estágio,ir-ate-sala-estagio
Como eu vou pra sala de estágio,ir-ate-sala-estagio
Como eu vou para sala de estágio,ir-ate-sala-estagio
Como eu chego a/ao sala de estágio,ir-ate-sala-estagio
Pode me acompanhar até sala de estágio,ir-ate-sala-estagio
